sentid	pairid	condition	comparison	sentence	ROI
370	185	cool_meaning2_syn2	unexpected	He always wears fashionable sunglasses wherever he goes.	3
371	186	cool_meaning2_syn2	expected	Her haircut is so cool and modern.	4
372	186	cool_meaning2_syn2	unexpected	Her haircut is so fashionable and modern.	4
373	187	cool_meaning2_syn2	expected	The new phone design looks sleek and cool.	7
374	187	cool_meaning2_syn2	unexpected	The new phone design looks sleek and fashionable	7
375	188	cool_meaning2_syn2	expected	Everyone thought his dance moves were super cool.	7
376	188	cool_meaning2_syn2	unexpected	Everyone thought his dance moves were super fashionable	7
377	189	race_meaning1_syn1	expected	He trained for months to win the race.	7
378	189	race_meaning1_syn1	unexpected	He trained for months to win the contest	7
379	190	race_meaning1_syn1	expected	The runners lined up for the start of the race.	9
380	190	race_meaning1_syn1	unexpected	The runners lined up for the start of the contest	9
381	191	race_meaning1_syn1	expected	She finished the race just a second behind the winner.	3
382	191	race_meaning1_syn1	unexpected	She finished the contest just a second behind the winner.	3
383	192	race_meaning1_syn1	expected	The annual charity race raised thousands of dollars.	3
384	192	race_meaning1_syn1	unexpected	The annual charity contest raised thousands of dollars.	3
385	193	race_meaning1_syn1	expected	He entered the race hoping to beat his personal best.	3
386	193	race_meaning1_syn1	unexpected	He entered the contest hoping to beat his personal best.	3
387	194	race_meaning1_syn2	expected	He trained for months to win the race.	7
388	194	race_meaning1_syn2	unexpected	He trained for months to win the competition	7
389	195	race_meaning1_syn2	expected	The runners lined up for the start of the race.	9
390	195	race_meaning1_syn2	unexpected	The runners lined up for the start of the competition	9
391	196	race_meaning1_syn2	expected	She finished the race just a second behind the winner.	3
392	196	race_meaning1_syn2	unexpected	She finished the competition just a second behind the winner.	3
393	197	race_meaning1_syn2	expected	The annual charity race raised thousands of dollars.	3
394	197	race_meaning1_syn2	unexpected	The annual charity competition raised thousands of dollars.	3
395	198	race_meaning1_syn2	expected	He entered the race hoping to beat his personal best.	3
396	198	race_meaning1_syn2	unexpected	He entered the competition hoping to beat his personal best.	3
397	199	race_meaning2_syn1	expected	The census asked respondents to identify their race.	7
398	199	race_meaning2_syn1	unexpected	The census asked respondents to identify their ethnicity	7
399	200	race_meaning2_syn1	expected	Discussions about race are important for social understanding.	2
400	200	race_meaning2_syn1	unexpected	Discussions about ethnicity are important for social understanding.	2
401	201	race_meaning2_syn1	expected	The study examined how race influences access to education.	4
402	201	race_meaning2_syn1	unexpected	The study examined how ethnicity influences access to education.	4
403	202	race_meaning2_syn1	expected	He spoke about his pride in his race and cultural heritage.	7
404	202	race_meaning2_syn1	unexpected	He spoke about his pride in his ethnicity and cultural heritage.	7
405	203	race_meaning2_syn2	expected	The census asked respondents to identify their race.	7
406	203	race_meaning2_syn2	unexpected	The census asked respondents to identify their descent	7
407	204	race_meaning2_syn2	expected	Discussions about race are important for social understanding.	2
408	204	race_meaning2_syn2	unexpected	Discussions about descent are important for social understanding.	2
409	205	race_meaning2_syn2	expected	The study examined how race influences access to education.	4
410	205	race_meaning2_syn2	unexpected	The study examined how descent influences access to education.	4
411	206	race_meaning2_syn2	expected	He spoke about his pride in his race and cultural heritage.	7
412	206	race_meaning2_syn2	unexpected	He spoke about his pride in his descent and cultural heritage.	7
413	207	party_meaning1_syn1	expected	She has been a loyal member of the Democratic party for years.	9
414	207	party_meaning1_syn1	unexpected	She has been a loyal member of the Democratic alliance for years.	9
415	208	party_meaning1_syn1	expected	The new party gained several seats in parliament.	2
416	208	party_meaning1_syn1	unexpected	The new alliance gained several seats in parliament.	2
417	209	party_meaning1_syn1	expected	The party announced its new platform on climate change.	1
418	209	party_meaning1_syn1	unexpected	The alliance announced its new platform on climate change.	1
419	210	party_meaning1_syn1	expected	He decided to leave his old party and join another one.	6
420	210	party_meaning1_syn1	unexpected	He decided to leave his old alliance and join another one.	6
421	211	party_meaning1_syn2	expected	She has been a loyal member of the Democratic party for years.	9
422	211	party_meaning1_syn2	unexpected	She has been a loyal member of the Democratic affiliation for years.	9
423	212	party_meaning1_syn2	expected	The new party gained several seats in parliament.	2
424	212	party_meaning1_syn2	unexpected	The new affiliation gained several seats in parliament.	2
425	213	party_meaning1_syn2	expected	The party announced its new platform on climate change.	1
426	213	party_meaning1_syn2	unexpected	The affiliation announced its new platform on climate change.	1
427	214	party_meaning1_syn2	expected	He decided to leave his old party and join another one.	6
428	214	party_meaning1_syn2	unexpected	He decided to leave his old affiliation and join another one.	6
429	215	party_meaning2_syn1	expected	They threw a huge party to celebrate the end of exams.	4
430	215	party_meaning2_syn1	unexpected	They threw a huge carnival to celebrate the end of exams.	4
431	216	party_meaning2_syn1	expected	She hosted a surprise party for her best friend.	4
432	216	party_meaning2_syn1	unexpected	She hosted a surprise carnival for her best friend.	4
433	217	party_meaning2_syn1	expected	The party lasted late into the night with music and dancing.	1
434	217	party_meaning2_syn1	unexpected	The carnival lasted late into the night with music and dancing.	1
435	218	party_meaning2_syn1	expected	We decorated the house for the birthday party.	7
436	218	party_meaning2_syn1	unexpected	We decorated the house for the birthday carnival	7
437	219	party_meaning2_syn1	expected	Everyone dressed up for the holiday party.	6
438	219	party_meaning2_syn1	unexpected	Everyone dressed up for the holiday carnival	6
439	220	party_meaning2_syn2	expected	They threw a huge party to celebrate the end of exams.	4
440	220	party_meaning2_syn2	unexpected	They threw a huge event to celebrate the end of exams.	4
441	221	party_meaning2_syn2	expected	She hosted a surprise party for her best friend.	4
442	221	party_meaning2_syn2	unexpected	She hosted a surprise event for her best friend.	4
443	222	party_meaning2_syn2	expected	The party lasted late into the night with music and dancing.	1
444	222	party_meaning2_syn2	unexpected	The event lasted late into the night with music and dancing.	1
445	223	party_meaning2_syn2	expected	We decorated the house for the birthday party.	7
446	223	party_meaning2_syn2	unexpected	We decorated the house for the birthday event	7
447	224	party_meaning2_syn2	expected	Everyone dressed up for the holiday party.	6
448	224	party_meaning2_syn2	unexpected	Everyone dressed up for the holiday event	6
449	225	sweet_meaning1_syn1	expected	That was such a sweet thing to say to your friend.	4
450	225	sweet_meaning1_syn1	unexpected	That was such a loving thing to say to your friend.	4
451	226	sweet_meaning1_syn1	expected	He gave her a sweet smile when she walked in.	4
452	226	sweet_meaning1_syn1	unexpected	He gave her a loving smile when she walked in.	4
453	227	sweet_meaning1_syn1	expected	She wrote a sweet note to thank her teacher.	3
454	227	sweet_meaning1_syn1	unexpected	She wrote a loving note to thank her teacher.	3
455	228	sweet_meaning1_syn1	expected	Their sweet gesture made everyone in the room smile.	1
456	228	sweet_meaning1_syn1	unexpected	Their loving gesture made everyone in the room smile.	1
457	229	sweet_meaning1_syn1	expected	It was sweet of you to help carry the groceries.	2
458	229	sweet_meaning1_syn1	unexpected	It was loving of you to help carry the groceries.	2
459	230	sweet_meaning1_syn2	expected	That was such a sweet thing to say to your friend.	4
460	230	sweet_meaning1_syn2	unexpected	That was such a caring thing to say to your friend.	4
461	231	sweet_meaning1_syn2	expected	He gave her a sweet smile when she walked in.	4
462	231	sweet_meaning1_syn2	unexpected	He gave her a caring smile when she walked in.	4
463	232	sweet_meaning1_syn2	expected	She wrote a sweet note to thank her teacher.	3
464	232	sweet_meaning1_syn2	unexpected	She wrote a caring note to thank her teacher.	3
465	233	sweet_meaning1_syn2	expected	Their sweet gesture made everyone in the room smile.	1
466	233	sweet_meaning1_syn2	unexpected	Their caring gesture made everyone in the room smile.	1
467	234	sweet_meaning1_syn2	expected	It was sweet of you to help carry the groceries.	2
468	234	sweet_meaning1_syn2	unexpected	It was caring of you to help carry the groceries.	2
469	235	sweet_meaning2_syn1	expected	The dessert was too sweet for my taste.	4
470	235	sweet_meaning2_syn1	unexpected	The dessert was too sugary for my taste.	4
471	236	sweet_meaning2_syn1	expected	She prefers sweet coffee over bitter tea.	2
472	236	sweet_meaning2_syn1	unexpected	She prefers sugary coffee over bitter tea.	2
473	237	sweet_meaning2_syn1	expected	The sweet aroma of chocolate filled the kitchen.	1
474	237	sweet_meaning2_syn1	unexpected	The sugary aroma of chocolate filled the kitchen.	1
475	238	sweet_meaning2_syn1	expected	He made a sweet sauce to drizzle over the pancakes.	3
476	238	sweet_meaning2_syn1	unexpected	He made a sugary sauce to drizzle over the pancakes.	3
477	239	sweet_meaning2_syn1	expected	The fruit was perfectly ripe and sweet.	6
478	239	sweet_meaning2_syn1	unexpected	The fruit was perfectly ripe and sugary	6
479	240	sweet_meaning2_syn2	expected	The dessert was too sweet for my taste.	4
480	240	sweet_meaning2_syn2	unexpected	The dessert was too candied for my taste.	4
481	241	sweet_meaning2_syn2	expected	She prefers sweet coffee over bitter tea.	2
482	241	sweet_meaning2_syn2	unexpected	She prefers candied coffee over bitter tea.	2
483	242	sweet_meaning2_syn2	expected	The sweet aroma of chocolate filled the kitchen.	1
484	242	sweet_meaning2_syn2	unexpected	The candied aroma of chocolate filled the kitchen.	1
485	243	sweet_meaning2_syn2	expected	He made a sweet sauce to drizzle over the pancakes.	3
486	243	sweet_meaning2_syn2	unexpected	He made a candied sauce to drizzle over the pancakes.	3
487	244	sweet_meaning2_syn2	expected	The fruit was perfectly ripe and sweet.	6
488	244	sweet_meaning2_syn2	unexpected	The fruit was perfectly ripe and candied	6
489	245	note_meaning1_syn1	expected	The pianist hit a beautiful note that lingered in the hall.	5
490	245	note_meaning1_syn1	unexpected	The pianist hit a beautiful tone that lingered in the hall.	5
491	246	note_meaning1_syn1	expected	She played every note of the song perfectly.	3
492	246	note_meaning1_syn1	unexpected	She played every tone of the song perfectly.	3
493	247	note_meaning1_syn1	expected	The violinist held the final note for several seconds.	5
494	247	note_meaning1_syn1	unexpected	The violinist held the final tone for several seconds.	5
495	248	note_meaning1_syn1	expected	He missed one note during his solo performance.	3
496	248	note_meaning1_syn1	unexpected	He missed one tone during his solo performance.	3
497	249	note_meaning1_syn1	expected	The singer struggled to reach the highest note in the piece.	7
498	249	note_meaning1_syn1	unexpected	The singer struggled to reach the highest tone in the piece.	7
499	250	note_meaning1_syn2	expected	The pianist hit a beautiful note that lingered in the hall.	5
500	250	note_meaning1_syn2	unexpected	The pianist hit a beautiful sound that lingered in the hall.	5
501	251	note_meaning1_syn2	expected	She played every note of the song perfectly.	3
502	251	note_meaning1_syn2	unexpected	She played every sound of the song perfectly.	3
503	252	note_meaning1_syn2	expected	The violinist held the final note for several seconds.	5
504	252	note_meaning1_syn2	unexpected	The violinist held the final sound for several seconds.	5
505	253	note_meaning1_syn2	expected	He missed one note during his solo performance.	3
506	253	note_meaning1_syn2	unexpected	He missed one sound during his solo performance.	3
507	254	note_meaning1_syn2	expected	The singer struggled to reach the highest note in the piece.	7
508	254	note_meaning1_syn2	unexpected	The singer struggled to reach the highest sound in the piece.	7
509	255	note_meaning2_syn1	expected	She left a note on the table to remind him about the meeting.	3
510	255	note_meaning2_syn1	unexpected	She left a memo on the table to remind him about the meeting.	3
511	256	note_meaning2_syn1	expected	He wrote a short note to apologize for being late.	4
512	256	note_meaning2_syn1	unexpected	He wrote a short memo to apologize for being late.	4
513	257	note_meaning2_syn1	expected	There was a handwritten note waiting for her at the door.	4
514	257	note_meaning2_syn1	unexpected	There was a handwritten memo waiting for her at the door.	4
515	258	note_meaning2_syn1	expected	She slipped a note under his office door before leaving.	3
516	258	note_meaning2_syn1	unexpected	She slipped a memo under his office door before leaving.	3
517	259	note_meaning2_syn1	expected	He received a note from his teacher about the homework.	3
518	259	note_meaning2_syn1	unexpected	He received a memo from his teacher about the homework.	3
519	260	note_meaning2_syn2	expected	She left a note on the table to remind him about the meeting.	3
520	260	note_meaning2_syn2	unexpected	She left a message on the table to remind him about the meeting.	3
521	261	note_meaning2_syn2	expected	He wrote a short note to apologize for being late.	4
522	261	note_meaning2_syn2	unexpected	He wrote a short message to apologize for being late.	4
523	262	note_meaning2_syn2	expected	There was a handwritten note waiting for her at the door.	4
524	262	note_meaning2_syn2	unexpected	There was a handwritten message waiting for her at the door.	4
525	263	note_meaning2_syn2	expected	She slipped a note under his office door before leaving.	3
526	263	note_meaning2_syn2	unexpected	She slipped a message under his office door before leaving.	3
527	264	note_meaning2_syn2	expected	He received a note from his teacher about the homework.	3
528	264	note_meaning2_syn2	unexpected	He received a message from his teacher about the homework.	3
529	265	plain_meaning1_syn1	expected	The room was completely plain inside.	4
530	265	plain_meaning1_syn1	unexpected	The room was completely simple inside.	4
531	266	plain_meaning1_syn1	expected	Her dress was very plain but elegant.	4
532	266	plain_meaning1_syn1	unexpected	Her dress was very simple but elegant.	4
533	267	plain_meaning1_syn1	expected	The walls looked plain without any paintings.	3
534	267	plain_meaning1_syn1	unexpected	The walls looked simple without any paintings.	3
535	268	plain_meaning1_syn1	expected	The table was plain and functional.	3
536	268	plain_meaning1_syn1	unexpected	The table was simple and functional.	3
537	269	plain_meaning1_syn1	expected	He chose a plain design for the invitation.	3
538	269	plain_meaning1_syn1	unexpected	He chose a simple design for the invitation.	3
539	270	plain_meaning1_syn2	expected	The room was completely plain inside.	4
540	270	plain_meaning1_syn2	unexpected	The room was completely undecorated inside.	4
541	271	plain_meaning1_syn2	expected	Her dress was very plain but elegant.	4
542	271	plain_meaning1_syn2	unexpected	Her dress was very undecorated but elegant.	4
543	272	plain_meaning1_syn2	expected	The walls looked plain without any paintings.	3
544	272	plain_meaning1_syn2	unexpected	The walls looked undecorated without any paintings.	3
545	273	plain_meaning1_syn2	expected	The table was plain and functional.	3
546	273	plain_meaning1_syn2	unexpected	The table was undecorated and functional.	3
547	274	plain_meaning1_syn2	expected	He chose a plain design for the invitation.	3
548	274	plain_meaning1_syn2	unexpected	He chose a undecorated design for the invitation.	3
549	275	plain_meaning2_syn1	expected	It was plain that she was upset.	2
550	275	plain_meaning2_syn1	unexpected	It was obvious that she was upset.	2
551	276	plain_meaning2_syn1	expected	The reason for the delay was plain to everyone.	6
552	276	plain_meaning2_syn1	unexpected	The reason for the delay was obvious to everyone.	6
553	277	plain_meaning2_syn1	expected	His disappointment was plain on his face.	3
554	277	plain_meaning2_syn1	unexpected	His disappointment was obvious on his face.	3
555	278	plain_meaning2_syn1	expected	The mistake was plain after we reviewed the numbers.	3
556	278	plain_meaning2_syn1	unexpected	The mistake was obvious after we reviewed the numbers.	3
557	279	plain_meaning2_syn1	expected	It became plain that the plan would not work.	2
558	279	plain_meaning2_syn1	unexpected	It became obvious that the plan would not work.	2
559	280	plain_meaning2_syn2	expected	It was plain that she was upset.	2
560	280	plain_meaning2_syn2	unexpected	It was apparent that she was upset.	2
561	281	plain_meaning2_syn2	expected	The reason for the delay was plain to everyone.	6
562	281	plain_meaning2_syn2	unexpected	The reason for the delay was apparent to everyone.	6
563	282	plain_meaning2_syn2	expected	His disappointment was plain on his face.	3
564	282	plain_meaning2_syn2	unexpected	His disappointment was apparent on his face.	3
565	283	plain_meaning2_syn2	expected	The mistake was plain after we reviewed the numbers.	3
566	283	plain_meaning2_syn2	unexpected	The mistake was apparent after we reviewed the numbers.	3
567	284	plain_meaning2_syn2	expected	It became plain that the plan would not work.	2
568	284	plain_meaning2_syn2	unexpected	It became apparent that the plan would not work.	2
569	285	lean_meaning1_syn1	expected	The tower began to lean slightly to the east.	4
570	285	lean_meaning1_syn1	unexpected	The tower began to tilt slightly to the east.	4
571	286	lean_meaning1_syn1	expected	He watched the tree lean in the strong wind.	4
572	286	lean_meaning1_syn1	unexpected	He watched the tree tilt in the strong wind.	4
573	287	lean_meaning1_syn1	expected	The pole would lean if not secured properly.	3
574	287	lean_meaning1_syn1	unexpected	The pole would tilt if not secured properly.	3
575	288	lean_meaning1_syn1	expected	The picture started to lean on the wall.	4
576	288	lean_meaning1_syn1	unexpected	The picture started to tilt on the wall.	4
577	289	lean_meaning1_syn1	expected	The bike would lean when parked on uneven ground.	3
578	289	lean_meaning1_syn1	unexpected	The bike would tilt when parked on uneven ground.	3
579	290	lean_meaning1_syn2	expected	The tower began to lean slightly to the east.	4
580	290	lean_meaning1_syn2	unexpected	The tower began to bend slightly to the east.	4
581	291	lean_meaning1_syn2	expected	He watched the tree lean in the strong wind.	4
582	291	lean_meaning1_syn2	unexpected	He watched the tree bend in the strong wind.	4
583	292	lean_meaning1_syn2	expected	The pole would lean if not secured properly.	3
584	292	lean_meaning1_syn2	unexpected	The pole would bend if not secured properly.	3
585	293	lean_meaning1_syn2	expected	The picture started to lean on the wall.	4
586	293	lean_meaning1_syn2	unexpected	The picture started to bend on the wall.	4
587	294	lean_meaning1_syn2	expected	The bike would lean when parked on uneven ground.	3
588	294	lean_meaning1_syn2	unexpected	The bike would bend when parked on uneven ground.	3
589	295	lean_meaning2_syn1	expected	You can always lean on me for support.	3
590	295	lean_meaning2_syn1	unexpected	You can always rely on me for support.	3
591	296	lean_meaning2_syn1	expected	She had to lean on her friends during a difficult time.	3
592	296	lean_meaning2_syn1	unexpected	She had to rely on her friends during a difficult time.	3
593	297	lean_meaning2_syn1	expected	They continued to lean on donations to keep the program running.	3
594	297	lean_meaning2_syn1	unexpected	They continued to rely on donations to keep the program running.	3
595	298	lean_meaning2_syn1	expected	The team would lean on its captain for leadership.	3
596	298	lean_meaning2_syn1	unexpected	The team would rely on its captain for leadership.	3
597	299	lean_meaning2_syn1	expected	He didn’t want to lean on others for help.	4
598	299	lean_meaning2_syn1	unexpected	He didn’t want to rely on others for help.	4
599	300	lean_meaning2_syn2	expected	You can always lean on me for support.	3
600	300	lean_meaning2_syn2	unexpected	You can always depend on me for support.	3
601	301	lean_meaning2_syn2	expected	She had to lean on her friends during a difficult time.	3
602	301	lean_meaning2_syn2	unexpected	She had to depend on her friends during a difficult time.	3
603	302	lean_meaning2_syn2	expected	They continued to lean on donations to keep the program running.	3
604	302	lean_meaning2_syn2	unexpected	They continued to depend on donations to keep the program running.	3
605	303	lean_meaning2_syn2	expected	The team would lean on its captain for leadership.	3
606	303	lean_meaning2_syn2	unexpected	The team would depend on its captain for leadership.	3
607	304	lean_meaning2_syn2	expected	He didn’t want to lean on others for help.	4
608	304	lean_meaning2_syn2	unexpected	He didn’t want to depend on others for help.	4
609	305	buckle_meaning1_syn1	expected	She had to buckle her seatbelt before the car moved.	3
610	305	buckle_meaning1_syn1	unexpected	She had to clasp her seatbelt before the car moved.	3
611	306	buckle_meaning1_syn1	expected	The hiker stopped to buckle his boots.	4
612	306	buckle_meaning1_syn1	unexpected	The hiker stopped to clasp his boots.	4
613	307	buckle_meaning1_syn1	expected	The child struggled to buckle the belt on his coat.	4
614	307	buckle_meaning1_syn1	unexpected	The child struggled to clasp the belt on his coat.	4
615	308	buckle_meaning1_syn1	expected	She leaned down to buckle the dog's harness.	4
616	308	buckle_meaning1_syn1	unexpected	She leaned down to clasp the dog's harness.	4
617	309	buckle_meaning1_syn2	expected	She had to buckle her seatbelt before the car moved.	3
618	309	buckle_meaning1_syn2	unexpected	She had to secure her seatbelt before the car moved.	3
619	310	buckle_meaning1_syn2	expected	The hiker stopped to buckle his boots.	4
620	310	buckle_meaning1_syn2	unexpected	The hiker stopped to secure his boots.	4
621	311	buckle_meaning1_syn2	expected	The child struggled to buckle the belt on his coat.	4
622	311	buckle_meaning1_syn2	unexpected	The child struggled to secure the belt on his coat.	4
623	312	buckle_meaning1_syn2	expected	She leaned down to buckle the dog's harness.	4
624	312	buckle_meaning1_syn2	unexpected	She leaned down to secure the dog's harness.	4
625	313	buckle_meaning2_syn1	expected	The old beam began to buckle under the weight.	5
626	313	buckle_meaning2_syn1	unexpected	The old beam began to yield under the weight.	5
627	314	buckle_meaning2_syn1	expected	The metal would buckle if overheated.	3
628	314	buckle_meaning2_syn1	unexpected	The metal would yield if overheated.	3
629	315	buckle_meaning2_syn1	expected	The floor started to buckle in the flood.	4
630	315	buckle_meaning2_syn1	unexpected	The floor started to yield in the flood.	4
631	316	buckle_meaning2_syn1	expected	The frame might buckle during the pressure test.	3
632	316	buckle_meaning2_syn1	unexpected	The frame might yield during the pressure test.	3
633	317	buckle_meaning2_syn1	expected	The roof could buckle in a severe storm.	3
634	317	buckle_meaning2_syn1	unexpected	The roof could yield in a severe storm.	3
635	318	buckle_meaning2_syn2	expected	The old beam began to buckle under the weight.	5
636	318	buckle_meaning2_syn2	unexpected	The old beam began to crumple under the weight.	5
637	319	buckle_meaning2_syn2	expected	The metal would buckle if overheated.	3
638	319	buckle_meaning2_syn2	unexpected	The metal would crumple if overheated.	3
639	320	buckle_meaning2_syn2	expected	The floor started to buckle in the flood.	4
640	320	buckle_meaning2_syn2	unexpected	The floor started to crumple in the flood.	4
641	321	buckle_meaning2_syn2	expected	The frame might buckle during the pressure test.	3
642	321	buckle_meaning2_syn2	unexpected	The frame might crumple during the pressure test.	3
643	322	buckle_meaning2_syn2	expected	The roof could buckle in a severe storm.	3
644	322	buckle_meaning2_syn2	unexpected	The roof could crumple in a severe storm.	3
645	323	tender_meaning1_syn1	expected	The massage felt very tender on her shoulders.	4
646	323	tender_meaning1_syn1	unexpected	The massage felt very gentle on her shoulders.	4
647	324	tender_meaning1_syn1	expected	He gave the dog a tender pat on the head.	5
648	324	tender_meaning1_syn1	unexpected	He gave the dog a gentle pat on the head.	5
649	325	tender_meaning1_syn1	expected	She spoke in a tender voice during the ceremony.	4
650	325	tender_meaning1_syn1	unexpected	She spoke in a gentle voice during the ceremony.	4
651	326	tender_meaning1_syn1	expected	The moment was tender and unforgettable.	3
652	326	tender_meaning1_syn1	unexpected	The moment was gentle and unforgettable.	3
653	327	tender_meaning1_syn1	expected	He placed a tender hand on her back.	3
654	327	tender_meaning1_syn1	unexpected	He placed a gentle hand on her back.	3
655	328	tender_meaning1_syn2	expected	The massage felt very tender on her shoulders.	4
656	328	tender_meaning1_syn2	unexpected	The massage felt very soft on her shoulders.	4
657	329	tender_meaning1_syn2	expected	He gave the dog a tender pat on the head.	5
658	329	tender_meaning1_syn2	unexpected	He gave the dog a soft pat on the head.	5
659	330	tender_meaning1_syn2	expected	She spoke in a tender voice during the ceremony.	4
660	330	tender_meaning1_syn2	unexpected	She spoke in a soft voice during the ceremony.	4
661	331	tender_meaning1_syn2	expected	The moment was tender and unforgettable.	3
662	331	tender_meaning1_syn2	unexpected	The moment was soft and unforgettable.	3
663	332	tender_meaning1_syn2	expected	He placed a tender hand on her back.	3
664	332	tender_meaning1_syn2	unexpected	He placed a soft hand on her back.	3
665	333	tender_meaning2_syn1	expected	Her ankle was still tender after the fall.	4
666	333	tender_meaning2_syn1	unexpected	Her ankle was still sore after the fall.	4
667	334	tender_meaning2_syn1	expected	The area around the bruise felt tender.	6
668	334	tender_meaning2_syn1	unexpected	The area around the bruise felt sore	6
669	335	tender_meaning2_syn1	expected	His muscles were tender from the workout.	3
670	335	tender_meaning2_syn1	unexpected	His muscles were sore from the workout.	3
671	336	tender_meaning2_syn1	expected	The tooth remained tender for days.	3
672	336	tender_meaning2_syn1	unexpected	The tooth remained sore for days.	3
673	337	tender_meaning2_syn1	expected	The cut was too tender to touch.	4
674	337	tender_meaning2_syn1	unexpected	The cut was too sore to touch.	4
675	338	tender_meaning2_syn2	expected	Her ankle was still tender after the fall.	4
676	338	tender_meaning2_syn2	unexpected	Her ankle was still sensitive after the fall.	4
677	339	tender_meaning2_syn2	expected	The area around the bruise felt tender.	6
678	339	tender_meaning2_syn2	unexpected	The area around the bruise felt sensitive	6
679	340	tender_meaning2_syn2	expected	His muscles were tender from the workout.	3
680	340	tender_meaning2_syn2	unexpected	His muscles were sensitive from the workout.	3
681	341	tender_meaning2_syn2	expected	The tooth remained tender for days.	3
682	341	tender_meaning2_syn2	unexpected	The tooth remained sensitive for days.	3
683	342	tender_meaning2_syn2	expected	The cut was too tender to touch.	4
684	342	tender_meaning2_syn2	unexpected	The cut was too sensitive to touch.	4
685	343	flat_meaning1_syn1	expected	The field was perfectly flat after they cleared it.	4
686	343	flat_meaning1_syn1	unexpected	The field was perfectly level after they cleared it.	4
687	344	flat_meaning1_syn1	expected	The countertop was flat and ready for use.	3
688	344	flat_meaning1_syn1	unexpected	The countertop was level and ready for use.	3
689	345	flat_meaning1_syn1	expected	The road stayed flat for miles.	3
690	345	flat_meaning1_syn1	unexpected	The road stayed level for miles.	3
691	346	flat_meaning1_syn1	expected	The surface felt completely flat to the touch.	4
692	346	flat_meaning1_syn1	unexpected	The surface felt completely level to the touch.	4
693	347	flat_meaning1_syn1	expected	The midwest is very flat and full of fields.	4
694	347	flat_meaning1_syn1	unexpected	The midwest is very level and full of fields.	4
695	348	flat_meaning1_syn2	expected	The field was perfectly flat after they cleared it.	4
696	348	flat_meaning1_syn2	unexpected	The field was perfectly smooth after they cleared it.	4
697	349	flat_meaning1_syn2	expected	The countertop was flat and ready for use.	3
698	349	flat_meaning1_syn2	unexpected	The countertop was smooth and ready for use.	3
699	350	flat_meaning1_syn2	expected	The road stayed flat for miles.	3
700	350	flat_meaning1_syn2	unexpected	The road stayed smooth for miles.	3
701	351	flat_meaning1_syn2	expected	The surface felt completely flat to the touch.	4
702	351	flat_meaning1_syn2	unexpected	The surface felt completely smooth to the touch.	4
703	352	flat_meaning1_syn2	expected	The midwest is very flat and full of fields.	4
704	352	flat_meaning1_syn2	unexpected	The midwest is very smooth and full of fields.	4
705	353	flat_meaning2_syn1	expected	The speech was flat and unexciting.	3
706	353	flat_meaning2_syn1	unexpected	The speech was dull and unexciting.	3
707	354	flat_meaning2_syn1	expected	The performance felt flat despite the effort.	3
708	354	flat_meaning2_syn1	unexpected	The performance felt dull despite the effort.	3
709	355	flat_meaning2_syn1	expected	The ending of the movie was flat.	6
710	355	flat_meaning2_syn1	unexpected	The ending of the movie was dull	6
711	356	flat_meaning2_syn1	expected	The drink tasted flat after sitting out.	3
712	356	flat_meaning2_syn1	unexpected	The drink tasted dull after sitting out.	3
713	357	flat_meaning2_syn1	expected	The conversation became flat very quickly.	3
714	357	flat_meaning2_syn1	unexpected	The conversation became dull very quickly.	3
715	358	flat_meaning2_syn2	expected	The speech was flat and unexciting.	3
716	358	flat_meaning2_syn2	unexpected	The speech was bland and unexciting.	3
717	359	flat_meaning2_syn2	expected	The performance felt flat despite the effort.	3
718	359	flat_meaning2_syn2	unexpected	The performance felt bland despite the effort.	3
719	360	flat_meaning2_syn2	expected	The ending of the movie was flat.	6
720	360	flat_meaning2_syn2	unexpected	The ending of the movie was bland	6
721	361	flat_meaning2_syn2	expected	The drink tasted flat after sitting out.	3
722	361	flat_meaning2_syn2	unexpected	The drink tasted bland after sitting out.	3
723	362	flat_meaning2_syn2	expected	The conversation became flat very quickly.	3
724	362	flat_meaning2_syn2	unexpected	The conversation became bland very quickly.	3
725	363	draft_meaning1_syn1	expected	A cold draft came in through the window.	2
726	363	draft_meaning1_syn1	unexpected	A cold breeze came in through the window.	2
727	364	draft_meaning1_syn1	expected	The hallway had a constant draft.	5
728	364	draft_meaning1_syn1	unexpected	The hallway had a constant breeze	5
729	365	draft_meaning1_syn1	expected	He felt a draft under the door.	3
730	365	draft_meaning1_syn1	unexpected	He felt a breeze under the door.	3
731	366	draft_meaning1_syn1	expected	The old house always had a draft in winter.	6
732	366	draft_meaning1_syn1	unexpected	The old house always had a breeze in winter.	6
733	367	draft_meaning1_syn1	expected	A sudden draft blew out the candle.	2
734	367	draft_meaning1_syn1	unexpected	A sudden breeze blew out the candle.	2
735	368	draft_meaning1_syn2	expected	A cold draft came in through the window.	2
736	368	draft_meaning1_syn2	unexpected	A cold wind came in through the window.	2
737	369	draft_meaning1_syn2	expected	The hallway had a constant draft.	5
738	369	draft_meaning1_syn2	unexpected	The hallway had a constant wind	5
739	370	draft_meaning1_syn2	expected	He felt a draft under the door.	3
740	370	draft_meaning1_syn2	unexpected	He felt a wind under the door.	3
741	371	draft_meaning1_syn2	expected	The old house always had a draft in winter.	6
742	371	draft_meaning1_syn2	unexpected	The old house always had a wind in winter.	6
743	372	draft_meaning1_syn2	expected	A sudden draft blew out the candle.	2
